Reference area,Measure,Unit of measure,Regime,Time Period,Observation Value,Regime Name
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2005,0.96,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2005,-11.55,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2005,5.2,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2006,20.43,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2006,1.2,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2006,-10.12,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2006,5.44,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2007,22.17,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2007,1.49,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2007,-8.38,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2007,5.74,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2008,24.28,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2008,1.87,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2008,-6.27,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2008,6.12,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2009,26.83,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2009,2.34,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2009,-3.72,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2009,6.59,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2010,2.94,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2010,29.92,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2010,-0.63,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2010,7.19,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2011,33.67,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2011,3.12,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2011,7.96,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2011,3.71,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2012,38.21,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2012,7.67,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2012,8.97,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2012,4.73,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2013,43.72,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2013,13.17,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2013,10.33,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2013,6.08,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2014,43.72,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2014,13.17,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2014,10.33,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2014,6.08,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2015,29.92,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2015,-0.63,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2015,7.19,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2015,2.94,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2016,33.67,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2016,3.12,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2016,7.96,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2016,3.71,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2017,38.21,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2017,7.67,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2017,8.97,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2017,4.73,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2018,37.47,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2018,11.29,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2018,9.05,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2018,4.84,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2019,37.47,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2019,11.29,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2019,9.05,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2019,4.84,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 2,2020,22.88,Regime to promote the knowledge-based economy - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 2,2020,0.3,Regime to promote the knowledge-based economy - ARG
Argentina,Cost of capital,Percentage of investment,Regime 2,2020,4.52,Regime to promote the knowledge-based economy - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 2,2020,-3.3,Regime to promote the knowledge-based economy - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 2,2021,23.29,Regime to promote the knowledge-based economy - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 2,2021,0.37,Regime to promote the knowledge-based economy - ARG
Argentina,Cost of capital,Percentage of investment,Regime 2,2021,4.59,Regime to promote the knowledge-based economy - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 2,2021,-2.89,Regime to promote the knowledge-based economy - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 2,2022,23.79,Regime to promote the knowledge-based economy - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 2,2022,0.46,Regime to promote the knowledge-based economy - ARG
Argentina,Cost of capital,Percentage of investment,Regime 2,2022,4.68,Regime to promote the knowledge-based economy - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 2,2022,-2.39,Regime to promote the knowledge-based economy - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 2,2023,24.39,Regime to promote the knowledge-based economy - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 2,2023,0.57,Regime to promote the knowledge-based economy - ARG
Argentina,Cost of capital,Percentage of investment,Regime 2,2023,4.78,Regime to promote the knowledge-based economy - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 2,2023,-1.79,Regime to promote the knowledge-based economy - ARG
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2000,29.68,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2000,4.24,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2000,0.0,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2000,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2001,26.18,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2001,4.22,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2001,0.0,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2001,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2002,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2002,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2002,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2002,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2003,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2003,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2003,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2003,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2004,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2004,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2004,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2004,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2005,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2005,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2005,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2005,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2006,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2006,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2006,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2006,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2007,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2007,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2007,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2007,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2008,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2008,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2008,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2008,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2009,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2009,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2009,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2009,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2010,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2010,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2010,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2010,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2011,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2011,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2011,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2011,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2012,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2012,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2012,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2012,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2013,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2013,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2013,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2013,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2014,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2014,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2014,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2014,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2015,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2015,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2015,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2015,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2016,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2016,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2016,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2016,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2017,26.18,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2017,0.0,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2017,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2017,0.0,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2018,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2018,26.18,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2018,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2018,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2019,26.18,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2019,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2019,0.0,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2019,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2020,26.18,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2020,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2020,0.0,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2020,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2021,26.18,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2021,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2021,0.0,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2021,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2022,26.18,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2022,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2022,0.0,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2022,0.0,AUS
Australia,Effective average tax rate,Percentage of taxable income,Regime 1,2023,26.18,AUS
Australia,Cost of capital,Percentage of investment,Regime 1,2023,4.22,AUS
Australia,Implicit subsidy,Percentage of investment,Regime 1,2023,0.0,AUS
Australia,Implicit subsidy,Percentage of taxable income,Regime 1,2023,0.0,AUS
Austria,Implicit subsidy,Percentage of investment,Regime 1,2000,0.0,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2000,4.24,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2000,29.68,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2000,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2001,0.0,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2001,4.24,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2001,29.68,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2001,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2002,0.0,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2002,4.24,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2002,29.68,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2002,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2003,0.0,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2003,4.24,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2003,29.68,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2003,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2004,0.0,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2004,4.24,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2004,29.68,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2004,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2005,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2005,21.82,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2005,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2005,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2006,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2006,21.82,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2006,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2006,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2007,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2007,21.82,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2007,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2007,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2008,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2008,21.82,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2008,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2008,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2009,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2009,21.82,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2009,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2009,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2010,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2010,21.82,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2010,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2010,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2011,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2011,21.82,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2011,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2011,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2012,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2012,21.82,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2012,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2012,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2013,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2013,21.82,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2013,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2013,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2014,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2014,21.82,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2014,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2014,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2015,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2015,21.82,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2015,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2015,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2016,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2016,21.82,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2016,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2016,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2017,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2017,21.82,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2017,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2017,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2018,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2018,21.82,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2018,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2018,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2019,21.82,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2019,0.0,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2019,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2019,0.0,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2020,0.0,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2020,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2020,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2020,21.82,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2021,0.0,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2021,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2021,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2021,21.82,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2022,0.0,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2022,4.19,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2022,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2022,21.82,AUT
Austria,Implicit subsidy,Percentage of investment,Regime 1,2023,0.0,AUT
Austria,Cost of capital,Percentage of investment,Regime 1,2023,4.18,AUT
Austria,Implicit subsidy,Percentage of taxable income,Regime 1,2023,0.0,AUT
Austria,Effective average tax rate,Percentage of taxable income,Regime 1,2023,20.95,AUT
Basque Country,Implicit subsidy,Percentage of investment,Regime 1,2000,0.0,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Implicit subsidy,Percentage of taxable income,Regime 1,2000,0.0,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Effective average tax rate,Percentage of taxable income,Regime 1,2000,24.44,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Cost of capital,Percentage of investment,Regime 1,2000,4.21,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Implicit subsidy,Percentage of investment,Regime 1,2001,0.0,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Implicit subsidy,Percentage of taxable income,Regime 1,2001,0.0,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Effective average tax rate,Percentage of taxable income,Regime 1,2001,24.44,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Cost of capital,Percentage of investment,Regime 1,2001,4.21,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Implicit subsidy,Percentage of investment,Regime 1,2002,0.0,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Implicit subsidy,Percentage of taxable income,Regime 1,2002,0.0,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Effective average tax rate,Percentage of taxable income,Regime 1,2002,24.44,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Cost of capital,Percentage of investment,Regime 1,2002,4.21,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Implicit subsidy,Percentage of investment,Regime 1,2003,0.0,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Effective average tax rate,Percentage of taxable income,Regime 1,2003,24.44,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Implicit subsidy,Percentage of taxable income,Regime 1,2003,0.0,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Cost of capital,Percentage of investment,Regime 1,2003,4.21,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Implicit subsidy,Percentage of investment,Regime 1,2004,0.0,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Effective average tax rate,Percentage of taxable income,Regime 1,2004,24.44,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Implicit subsidy,Percentage of taxable income,Regime 1,2004,0.0,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Cost of capital,Percentage of investment,Regime 1,2004,4.21,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Implicit subsidy,Percentage of investment,Regime 1,2005,0.0,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Effective average tax rate,Percentage of taxable income,Regime 1,2005,24.44,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Implicit subsidy,Percentage of taxable income,Regime 1,2005,0.0,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Cost of capital,Percentage of investment,Regime 1,2005,4.21,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
Basque Country,Implicit subsidy,Percentage of investment,Regime 1,2006,0.0,Partial exemption for income from certain intangible assets (Basque country)  - ESP_B
